Problem,Organisation,Kontaktperson,Telefon,Email,Position,Priorität
Rechnungsstellung,Handwerkskammer München,Klaus Weber,089-5119-0,info@hwk-muenchen.de,Geschäftsführer,Hoch
Rechnungsstellung,IHK Berlin,Dr. Sarah Müller,030-31510-0,digitalisierung@berlin.ihk.de,Abt. Digitalisierung,Hoch
Rechnungsstellung,Steuerberaterkammer Köln,Thomas Schmidt,0221-9208-0,info@stbk-koeln.de,Präsident,Mittel
Rechnungsstellung,BVMW Hamburg,Michael König,040-632090,hamburg@bvmw.de,Regionalgeschäftsführer,Hoch
Rechnungsstellung,XING Gruppe,Unternehmer DACH,Online,gruppe@xing.com,Community,Mittel
Rechnungsstellung,LinkedIn,KMU Geschäftsführer,Online,linkedin.com,Zielgruppe,Mittel

Zeiterfassung,BDU Unternehmensberater,Dr. Ralf Strehlau,0228-9161-0,info@bdu.de,Hauptgeschäftsführer,Hoch
Zeiterfassung,BVDW Digitale Wirtschaft,Marco Junk,0211-600456-0,info@bvdw.org,Geschäftsführer,Hoch
Zeiterfassung,Bundesrechtsanwaltskammer,Dr. Ulrich Wessels,030-284939-0,zentrale@brak.de,Präsident,Mittel
Zeiterfassung,Architektenkammer NRW,Ernst Uhing,0211-49670,info@aknw.de,Präsident,Mittel
Zeiterfassung,ADC Art Directors Club,Daniel Sommer,030-59003363,info@adc.de,Geschäftsführer,Hoch
Zeiterfassung,XING Events,Digitalisierung Agenturen,Online,events@xing.com,Networking,Mittel

Lead-Qualifizierung,IVD Immobilienverband,Jürgen Michael Schick,030-27595-0,info@ivd.net,Präsident,Hoch
Lead-Qualifizierung,BVK Versicherungskaufleute,Michael H. Heinz,0228-94446-0,info@bvk.de,Hauptgeschäftsführer,Hoch
Lead-Qualifizierung,BVI Investment Management,Thomas Richter,069-154090-0,info@bvi.de,Hauptgeschäftsführer,Mittel
Lead-Qualifizierung,Bitkom Mittelstand,Dr. Frank Termer,030-27576-0,mittelstand@bitkom.org,Geschäftsführer,Hoch
Lead-Qualifizierung,XING Sales Marketing,Community,Online,gruppe@xing.com,Community,Mittel
Lead-Qualifizierung,LinkedIn Sales Navigator,Vertriebsleiter KMU,Online,linkedin.com,Zielgruppe,Mittel
